EXISTS	:wat::holon::eval-digest-coincident?	1 type-check error"
EXISTS	:wat::holon::eval-edn-coincident?	1 type-check error"
EXISTS	:wat::holon::eval-signed-coincident?	1 type-check error"
MISSING	:wat::holon::from-watast	
EXISTS	:wat::holon::leaf	1 type-check error"
EXISTS	:wat::holon::presence?	1 type-check error"
EXISTS	:wat::holon::simhash	1 type-check error"
MISSING	:wat::holon::to-watast	
EXISTS	:wat::holon::vector-bytes	1 type-check error"
RETIRED	:wat::kernel::assertion-failed!	is retired
MISSING	:wat::kernel::drop	
EXISTS	:wat::kernel::eprintln	1 type-check error"
MISSING	:wat::kernel::extract-panics	
MISSING	:wat::kernel::fork-program	
MISSING	:wat::kernel::fork-program-ast	
EXISTS	:wat::kernel::HandlePool::finish	1 type-check error"
EXISTS	:wat::kernel::HandlePool::new	1 type-check error"
EXISTS	:wat::kernel::HandlePool::pop	1 type-check error"
MISSING	:wat::kernel::join-result	
MISSING	:wat::kernel::make-bounded-channel	
MISSING	:wat::kernel::make-unbounded-channel	
EXISTS	:wat::kernel::pipe	
EXISTS	:wat::kernel::println	1 type-check error"
MISSING	:wat::kernel::process-recv	
MISSING	:wat::kernel::process-send	
EXISTS	:wat::kernel::raise!	1 type-check error"
EXISTS	:wat::kernel::readln	1 type-check error"
EXISTS	:wat::kernel::recv	1 type-check error"
MISSING	:wat::kernel::run-sandboxed	
MISSING	:wat::kernel::run-sandboxed-ast	
MISSING	:wat::kernel::run-sandboxed-hermetic-ast	
EXISTS	:wat::kernel::select	2 type-check errors"
EXISTS	:wat::kernel::send	2 type-check errors"
MISSING	:wat::kernel::spawn	
EXISTS	:wat::kernel::spawn-program	2 type-check errors"
MISSING	:wat::kernel::spawn-program-ast	
EXISTS	:wat::kernel::spawn-thread	2 type-check errors"
EXISTS	:wat::kernel::stopped?	
MISSING	:wat::kernel::try-recv	
MISSING	:wat::list::fold	
MISSING	:wat::list::reduce	
MISSING	:wat::lru::LocalCache::new	
MISSING	:wat::lru::LocalCache::put	
MISSING	:wat::lru::spawn	
EXISTS	:wat::regex::matches?	1 type-check error"
EXISTS	:wat::runtime::body-of	1 type-check error"
RETIRED	:wat::runtime::define-alias	is retired (Stone 241.12); use ':wat::core::defalias' instead
EXISTS	:wat::runtime::extract-arg-names	1 type-check error"
EXISTS	:wat::runtime::extract-arg-types	1 type-check error"
MISSING	:wat::runtime::lookup-callable	
EXISTS	:wat::runtime::rename-callable-name	1 type-check error"
EXISTS	:wat::runtime::signature-of-defn	1 type-check error"
EXISTS	:wat::runtime::signature-of-fn	1 type-check error"
EXISTS	:wat::service::defservice	macro :wat::service::defservice expects at least 1 arguments; got 0"
EXISTS	:wat::sqlite::execute	1 type-check error"
EXISTS	:wat::sqlite::pragma	1 type-check error"
RETIRED	:wat::std::math::ln	is retired; use ':wat::math::ln' instead
RETIRED	:wat::std::math::pi	is retired; use ':wat::math::pi' instead
MISSING	:wat::std::member?	
MISSING	:wat::stream::chunks	
MISSING	:wat::stream::collect	
MISSING	:wat::stream::flat-map	
MISSING	:wat::stream::for-each	
MISSING	:wat::stream::from-receiver	
MISSING	:wat::stream::map	
MISSING	:wat::stream::spawn-producer	
MISSING	:wat::stream::take	
MISSING	:wat::stream::with-state	
MISSING	:wat::telemetry::null-metrics-cadence	
MISSING	:wat::telemetry::uuid::v4	
MISSING	:wat::test::assert-coincident?	
EXISTS	:wat::test::assert-contains	1 type-check error"
EXISTS	:wat::test::assert-eq	1 type-check error"
MISSING	:wat::test::assert-stderr-matches	
MISSING	:wat::test::assert-stdout-is	
MISSING	:wat::test::assert-substring	
EXISTS	:wat::test::deftest	macro :wat::test::deftest expects 2 arguments; got 0"
EXISTS	:wat::test::deftest-hermetic	macro :wat::test::deftest-hermetic expects 2 arguments; got 0"
EXISTS	:wat::test::ignore	1 type-check error"
MISSING	:wat::test::make-deftest	
EXISTS	:wat::test::program	
MISSING	:wat::test::run	
MISSING	:wat::test::run-ast	
MISSING	:wat::test::run-hermetic-ast	
EXISTS	:wat::test::should-panic	1 type-check error"
EXISTS	:wat::test::time-limit	1 type-check error"
EXISTS	:wat::time::ago	1 type-check error"
EXISTS	:wat::time::at	1 type-check error"
EXISTS	:wat::time::epoch-seconds	1 type-check error"
EXISTS	:wat::time::from-iso8601	1 type-check error"
EXISTS	:wat::time::from-now	1 type-check error"
EXISTS	:wat::time::nanoseconds-ago	1 type-check error"
EXISTS	:wat::time::nanoseconds-from-now	1 type-check error"
EXISTS	:wat::time::now	
EXISTS	:wat::time::to-iso8601	1 type-check error"
EXISTS	:wat::uuid::from-string	1 type-check error"
EXISTS	:wat::uuid::nil	
EXISTS	:wat::uuid::to-string	1 type-check error"
EXISTS	:wat::uuid::v4	
EXISTS	:wat::uuid::v5	1 type-check error"
EXISTS	:wat::vec::concat	1 type-check error"
