row	verdict	clojure	wat said	koan
1	literal	true		(= (quote (4 5 6)) '(4 5 6))
2	literal	true		(= '(4 5 6) (quote (4 5 6)))
3	literal	true		(= 'age (let [age 9] (quote age)))
4	refused	true	unresolved: :wat::core::cons :wat::core::list	(= (cons 1 '(2 3)) (list 1 2 3) (cons 1 [2 3]))
5	refused	true	unresolved: :wat::core::list	(= (list 1 '(+ 2 3)) '(1 (+ 2 3)))
6	refused	true	unresolved: :wat::core::list	(= (list 1 2 3) `(1 2 3) '(1 2 3))
7	refused	true	unresolved: :wat::core::list	(= (list 1 5) `(1 ~(+ 2 3)) '(1 5))
