row	verdict	clojure	wat said	koan
1	died	true	TypeMismatch: :wat::core::=: expected matching comparable pair, got wat::WatAST `<WatAST>`	(= '(2 3 4) (range 2 5))
2	died	true	ArityMismatch: :wat::core::range: expected 2 arguments, got 1	(= '(0 1 2) (range 3))
3	died	true	ArityMismatch: :wat::core::range: expected 2 arguments, got 1	(= [0 1 2 3] (take 4 (range 50)))
4	died	true	ArityMismatch: :wat::core::range: expected 2 arguments, got 1	(= [47 48 49] (drop 47 (range 50)))
5	refused	true	unresolved: :wat::core::iterate	(= [1 3 9 27 81] (take 5 (iterate (fn [x] (* x 3)) 1)))
6	refused	true	unresolved: :wat::core::repeat	(= [:z :z :z] (repeat 3 :z))
7	refused	true	unresolved: :wat::core::repeat :wat::core::iterate :wat::core::identity	(= (repeat 5 "hi") (take 5 (iterate identity "hi")))
