row	verdict	clojure	wat said	koan
1	refused	true	MalformedForm: malformed :wat::core::fn form: expected [name <- :T ...] -> :Ret body ...; got 2 element(s)	(= "hot and bright" (describe :sun))
2	refused	true	MalformedForm: malformed :wat::core::fn form: expected [name <- :T ...] -> :Ret body ...; got 2 element(s)	(= "cold and pale" (describe :moon))
3	refused	true	TypeMismatch: {…} map literal: parameter value #2 expects :wat::core::i64; got (:wat::core::Vector :- [:wat::core::i64])	(= 7 (handle :pick {:chosen 7 :items [1 2]}))
4	refused	true	TypeMismatch: {…} map literal: parameter value #2 expects :wat::core::i64; got (:wat::core::Vector :- [:wat::core::i64])	(= 9 (handle :total {:chosen 7 :items [1 2 3]}))
