row	verdict	clojure	wat said	koan
1	refused	true	unresolved: :wat::core::set	(= #{7} (set [7 7 7]))
2	literal	true		(= 3 (count #{:a :b :c}))
3	refused	true	unresolved: :wat::core::set	(= #{1 2 3} (set '(1 2 2 3 3 3)))
4	refused	true	unresolved: :wat::set::union	(= #{1 2 3 4 5} (set/union #{1 2 3} #{3 4 5}))
5	refused	true	unresolved: :wat::set::intersection	(= #{3} (set/intersection #{1 2 3} #{3 4 5}))
6	refused	true	unresolved: :wat::set::difference	(= #{1 2} (set/difference #{1 2 3} #{3 4 5}))
