row	verdict	clojure	wat said	koan
1	refused	true	MalformedForm: malformed :wat::core::fn form: expected [name <- :T ...] -> :Ret body ...; got 2 element(s)	(= "ba" ((fn [[a b]] (str b a)) ["a" "b"]))
2	refused	true	MalformedForm: malformed :wat::core::fn form: expected [name <- :T ...] -> :Ret body ...; got 2 element(s)	(= "x, y and z" ((fn [[a b c]] (str a ", " b " and " c)) ["x" "y" "z"]))
3	refused	true	TypeMismatch: :wat::core::let: parameter destructure (first-name last-name & titles) expects :(?1623,?1624,?1625,?1626); got (:wat::core::Vector :- [:wat::core::String])	(= "Ada Lovelace: Countess, Analyst" (let [[first-name last-name & titles] (list "Ada" "Lovelace" "Countess" "Analyst")] (str first-name " " last-name ": " (apply str (interpose ", " titles)))))
4	refused	true	TypeMismatch: {…} map literal: parameter value #2 expects (:wat::core::Vector :- [:wat::core::String]); got :wat::core::String	(= {:whole ["Ada" "Lovelace"] :first "Ada"} (let [[f l :as whole] ["Ada" "Lovelace"]] {:whole whole :first f}))
5	refused	true	MalformedForm: malformed :wat::core::def form: first arg must be a keyword name (e.g. `:my::name`); got Symbol(Identifier { name: 	(= "9 Elm Row, Leith, UK" (let [{street :street city :city country :country} address] (str street ", " city ", " country)))
6	refused	true	TypeMismatch: :wat::core::let: parameter keys-destructure (street city country) expects an aggregate type; got :?	(= "9 Elm Row, Leith, UK" (let [{:keys [street city country]} address] (str street ", " city ", " country)))
7	refused	true	MalformedForm: malformed :wat::core::fn form: expected [name <- :T ...] -> :Ret body ...; got 2 element(s)	(= "Ada L., 9 Elm Row, Leith, UK" ((fn [[f l] {:keys [street city country]}] (str f " " (first l) "., " street ", " city ", " country)) ["Ada" "Lovelace"] address))
