row	verdict	clojure	wat said	koan
1	refused	true	MalformedForm: malformed :wat::core::def form: first arg must be a keyword name (e.g. `:my::name`); got Symbol(Identifier { name: 	(= "earth" (deref planet))
2	refused	true	MalformedForm: malformed :wat::core::def form: first arg must be a keyword name (e.g. `:my::name`); got Symbol(Identifier { name: 	(= "earth" @planet)
3	refused	true	MalformedForm: malformed :wat::core::def form: first arg must be a keyword name (e.g. `:my::name`); got Symbol(Identifier { name: 	(= "mars" (do (dosync (ref-set planet "mars")) @planet))
4	refused	true	MalformedForm: malformed :wat::core::fn form: expected [name <- :T ...] -> :Ret body ...; got 2 element(s)	(= "mars!!" (let [bang (fn [x] (str x "!"))] (dosync (ref-set planet "mars") (alter planet bang) (alter planet bang)) @planet))
5	refused	true	MalformedForm: malformed :wat::core::def form: first arg must be a keyword name (e.g. `:my::name`); got Symbol(Identifier { name: 	(= 0 (do (dosync (ref-set planet 0)) @planet))
6	refused	true	MalformedForm: malformed :wat::core::fn form: expected [name <- :T ...] -> :Ret body ...; got 2 element(s)	(= 20 (do (dosync (ref-set planet 10) (alter planet (fn [x] (* 2 x))))))
7	refused	true	MalformedForm: malformed :wat::core::def form: first arg must be a keyword name (e.g. `:my::name`); got Symbol(Identifier { name: 	(= ["Luna" "Phobos"] (do (dosync (ref-set planet {}) (alter planet assoc :moon "Luna") (alter moons assoc :moon "Phobos")) [(:moon @planet) (:moon @moons)]))
