row	verdict	clojure	wat said	koan
1	refused	true	unresolved: :wat::core::group-by	(= {5 ["hello" "world"] 3 ["fig" "zap"]} (group-by count ["hello" "world" "fig" "zap"]))
2	refused	true	ArityMismatch: :wat::core::=: expected 2 argument(s); got 3	(= (odds-and-evens [1 2 3 4 5]) ((juxt filter remove) odd? [1 2 3 4 5]) [[1 3 5] [2 4]])
3	refused	true	TypeMismatch: {…} map literal: parameter value #2 expects :wat::core::i64; got :wat::core::String	(= {1 [{:id 1 :name "Ada"} {:id 1 :last "Byron"}] 2 [{:id 2 :name "Bob"}]} (group-by :id [{:id 1 :name "Ada"} {:id 2 :name "Bob"} {:id 1 :last "Byron"}]))
4	refused	true	TypeMismatch: {…} map literal: parameter value #2 expects :wat::core::i64; got :wat::core::String	(= {"Ada" [{:id 1 :name "Ada"}] "Bob" [{:id 2 :name "Bob"}] nil [{:id 1 :last "Byron"}]} (group-by :name [{:id 1 :name "Ada"} {:id 2 :name "Bob"} {:id 1 :last "Byron"}]))
5	refused	true	TypeMismatch: {…} map literal: parameter value #2 expects :wat::core::String; got :wat::core::bool	(= {:late [{:name "Cy" :late true} {:name "Di" :late true}] :early [{:name "Ed" :late false}]} (group-by #(if (:late %) :late :early) [{:name "Cy" :late true} {:name "Ed" :late false} {:name "Di" :late true}]))
